Keys:		16 bytes each
Values: 	1000 bytes each
Entries:	600000
IndexSize:	14.31 MiB (estimated)
DataSize:	574.49 MiB (estimated)
---------------------------------------------------------------------------------------------------
Date:		Wed Apr  2 20:11:41 2025
CPU:		2 * AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx
CPUCache:	512 KB
---------------------------------------------------------------------------------------------------
Starting benchmark...
Requested Total Ops: 600000
Threads: 25, Write Ratio: 80%
Random Keys: Yes
---------------------------------------------------------------------------------------------------
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
[5580] 02 Apr 20:11:41.879 - sst.c:660 Serving sst_get request from immutable memtable
